block_size_km,fold,feature,ranking_importance,rank,selected,source_group,season_or_orbit,feature_family
10,3,S2_dry_NBR2,0.014906606848812372,12,True,Sentinel-2 optical,dry,spectral_index
10,3,L89_dry_Green,0.014891136521722179,13,True,Landsat 8/9 optical,dry,spectral_band_or_percentile
10,3,L89_dry_SWIR1,0.014836405428601453,14,False,Landsat 8/9 optical,dry,spectral_band_or_percentile
10,3,S1_VHasc_p50,0.014766185831640917,15,True,Sentinel-1 SAR,ascending,sar_backscatter_metric
10,3,S2_dry_SR,0.014587209850605874,16,True,Sentinel-2 optical,dry,spectral_index
10,3,S2_dry_GNDVI,0.014184710083324642,17,False,Sentinel-2 optical,dry,spectral_index
10,3,L89_dry_MSI,0.013787860436072755,18,True,Landsat 8/9 optical,dry,spectral_index
10,3,S2_dry_B6,0.01361975853773974,19,True,Sentinel-2 optical,dry,spectral_band_or_percentile
10,3,S2_dry_NDWI,0.013405998397147779,20,False,Sentinel-2 optical,dry,spectral_index
10,3,L89_dry_Red,0.013272270399906746,21,False,Landsat 8/9 optical,dry,spectral_band_or_percentile
10,3,S2_dry_RDVI,0.01317046896783703,22,True,Sentinel-2 optical,dry,spectral_index
10,3,L89_wet_NBR2,0.013132669727248684,23,True,Landsat 8/9 optical,wet,spectral_index
10,3,S2_wet_NDWI,0.013076806307925376,24,True,Sentinel-2 optical,wet,spectral_index
10,3,L89_dry_NIR,0.013036656716335155,25,False,Landsat 8/9 optical,dry,spectral_band_or_percentile
10,3,S2_wet_GNDVI,0.012980127015652008,26,False,Sentinel-2 optical,wet,spectral_index
10,3,S2_dry_B8,0.01291379737933091,27,False,Sentinel-2 optical,dry,spectral_band_or_percentile
10,3,L89_dry_NBR,0.012905924625056782,28,False,Landsat 8/9 optical,dry,spectral_index
10,3,L89_dry_NDVI,0.01289769908785171,29,False,Landsat 8/9 optical,dry,spectral_index
10,3,L89_dry_Blue,0.012859472265047403,30,False,Landsat 8/9 optical,dry,spectral_band_or_percentile
10,3,S2_dry_B7,0.012779665341749015,31,False,Sentinel-2 optical,dry,spectral_band_or_percentile
10,3,S2_wet_NDVI,0.012691245420681013,32,False,Sentinel-2 optical,wet,spectral_index
10,3,S2_dry_NDI,0.01240969523623525,33,True,Sentinel-2 optical,dry,spectral_index
10,3,S2_dry_MTCI,0.011973769911163832,34,True,Sentinel-2 optical,dry,spectral_index
10,3,S2_dry_B4,0.011920211450785234,35,True,Sentinel-2 optical,dry,spectral_band_or_percentile
10,3,L89_dry_BSI,0.011808980655826577,36,False,Landsat 8/9 optical,dry,spectral_index
10,3,S2_wet_CVI,0.011770434091991624,37,True,Sentinel-2 optical,wet,spectral_index
10,3,S2_dry_CI_RE,0.011740720051877155,38,False,Sentinel-2 optical,dry,spectral_index
10,3,S2_wet_B12,0.011733680215903852,39,True,Sentinel-2 optical,wet,spectral_band_or_percentile
10,3,S2_dry_NDMI,0.011404514164156578,40,True,Sentinel-2 optical,dry,spectral_index
10,3,L89_dry_NDMI,0.011344214329232973,41,True,Landsat 8/9 optical,dry,spectral_index
10,3,S2_dry_NDVI_RE,0.011290272006179951,42,False,Sentinel-2 optical,dry,spectral_index
10,3,S2_wet_NLI,0.011287759297459636,43,True,Sentinel-2 optical,wet,spectral_index
10,3,S2_wet_RDVI,0.011071343213414781,44,False,Sentinel-2 optical,wet,spectral_index
10,3,S2_wet_NDVI_RE,0.010911386447634164,45,False,Sentinel-2 optical,wet,spectral_index
10,3,S2_wet_NBR,0.010863328445328887,46,False,Sentinel-2 optical,wet,spectral_index
10,3,S2_dry_NLI,0.010787463549147234,47,False,Sentinel-2 optical,dry,spectral_index
10,3,S2_dry_NBR,0.010655667536657998,48,False,Sentinel-2 optical,dry,spectral_index
10,3,S2_dry_NDVI,0.010645883392456578,49,False,Sentinel-2 optical,dry,spectral_index
10,3,L89_dry_NBR2,0.010375527765872606,50,False,Landsat 8/9 optical,dry,spectral_index
10,3,S2_dry_MSR,0.010245210016328237,51,False,Sentinel-2 optical,dry,spectral_index
10,3,S2_wet_B11,0.010242643470992014,52,False,Sentinel-2 optical,wet,spectral_band_or_percentile
10,3,S2_wet_B8,0.010033994303631022,53,False,Sentinel-2 optical,wet,spectral_band_or_percentile
10,3,S2_dry_B5,0.009625020059915503,54,False,Sentinel-2 optical,dry,spectral_band_or_percentile
10,3,S2_wet_MSR,0.009236940349282755,55,False,Sentinel-2 optical,wet,spectral_index
10,3,L89_wet_NBR,0.00904680692213581,56,False,Landsat 8/9 optical,wet,spectral_index
10,3,S2_wet_CI_RE,0.009019052075545054,57,False,Sentinel-2 optical,wet,spectral_index
10,3,S2_dry_PSRI,0.009001348120341124,58,False,Sentinel-2 optical,dry,spectral_index
10,3,S2_wet_SR,0.008763836170735366,59,False,Sentinel-2 optical,wet,spectral_index
10,3,L89_wet_NDVI,0.008608658595082953,60,False,Landsat 8/9 optical,wet,spectral_index
10,3,S2_wet_MTCI,0.008602174136269876,61,False,Sentinel-2 optical,wet,spectral_index
10,3,S2_wet_B7,0.008552103826689332,62,False,Sentinel-2 optical,wet,spectral_band_or_percentile
10,3,S2_wet_B6,0.008320176915379037,63,False,Sentinel-2 optical,wet,spectral_band_or_percentile
10,3,S2_wet_MNDWI,0.008227198028796978,64,False,Sentinel-2 optical,wet,spectral_index
10,3,S2_wet_NDMI,0.008186767686907378,65,False,Sentinel-2 optical,wet,spectral_index
10,3,L89_wet_BSI,0.007963156939835634,66,False,Landsat 8/9 optical,wet,spectral_index
10,3,DEM_slope,0.00790053107439555,67,False,DEM/topography,static_or_annual,topographic
10,3,S2_wet_B5,0.007884608797218352,68,False,Sentinel-2 optical,wet,spectral_band_or_percentile
10,3,L89_wet_SWIR2,0.007633407460588137,69,False,Landsat 8/9 optical,wet,spectral_band_or_percentile
10,3,S2_wet_B2,0.0075639323181153455,70,False,Sentinel-2 optical,wet,spectral_band_or_percentile
10,3,L89_wet_NIR,0.0074131484574260905,71,False,Landsat 8/9 optical,wet,spectral_band_or_percentile
10,3,S2_wet_B4,0.0073349197250148915,72,False,Sentinel-2 optical,wet,spectral_band_or_percentile
10,3,S1_VH_glcm_contrast_5x5,0.007187389735194225,73,False,Sentinel-1 SAR,static_or_annual,texture
10,3,S2_wet_B3,0.006878415052572132,74,False,Sentinel-2 optical,wet,spectral_band_or_percentile
10,3,L89_wet_Red,0.006658685893373246,75,False,Landsat 8/9 optical,wet,spectral_band_or_percentile
10,3,L89_wet_Blue,0.00652817118167929,76,False,Landsat 8/9 optical,wet,spectral_band_or_percentile
10,3,L89_wet_NDMI,0.006458682814377164,77,False,Landsat 8/9 optical,wet,spectral_index
