feature,source_group,season_or_orbit,feature_family,n,missing_count,missing_pct,inf_count,zero_count,zero_pct,finite_count,mean,std,min,p01,p25,median,p75,p99,max,all_missing,constant_or_near_constant
S2_wet_B2,Sentinel-2 optical,wet,spectral_band_or_percentile,3000,0,0.0,0,1,0.03333333333333333,3000,0.06549366670266667,0.030229674486826803,0.0,0.027997,0.0444,0.057,0.08086250375000001,0.1548199999999995,0.41035,False,False
S2_wet_B3,Sentinel-2 optical,wet,spectral_band_or_percentile,3000,0,0.0,0,1,0.03333333333333333,3000,0.08871738345966666,0.03210917936838943,0.0,0.048348999999999996,0.0668875,0.0798,0.1028125,0.17800599999999986,0.42409998,False,False
S2_wet_B4,Sentinel-2 optical,wet,spectral_band_or_percentile,3000,0,0.0,0,1,0.03333333333333333,3000,0.08223690006533334,0.044473460601672454,0.0,0.022796499010000002,0.049,0.0741,0.1064,0.2169039900999999,0.4378,False,False
S2_wet_B5,Sentinel-2 optical,wet,spectral_band_or_percentile,3000,0,0.0,0,1,0.03333333333333333,3000,0.12968571668566667,0.036416212017609834,0.0,0.053998,0.1071,0.1241,0.1458125,0.24720249999999994,0.4523,False,False
S2_wet_B6,Sentinel-2 optical,wet,spectral_band_or_percentile,3000,0,0.0,0,1,0.03333333333333333,3000,0.25115265003566667,0.07933585689754163,0.0,0.033598499999999996,0.20627500000000001,0.261,0.3071,0.40563699999999914,0.50944996,False,False
S2_wet_B7,Sentinel-2 optical,wet,spectral_band_or_percentile,3000,0,0.0,0,1,0.03333333333333333,3000,0.29960308333333335,0.10269262175466813,0.0,0.0341455,0.23523750000000002,0.31485,0.3751375,0.49140199999999995,0.62965,False,False
S2_wet_B8,Sentinel-2 optical,wet,spectral_band_or_percentile,3000,0,0.0,0,3,0.1,3000,0.29068510008966664,0.10523153070527184,0.0,0.027998000000000002,0.2236125075,0.30915001,0.36995,0.47962399999999944,0.6416,False,False
S2_wet_CI_RE,Sentinel-2 optical,wet,spectral_index,3000,0,0.0,0,1,0.03333333333333333,3000,1.3348156738521566,1.113784195869698,-1.0,-0.669951223,0.41053846,1.2055717499999998,2.217508225,3.75000901,4.4747257,False,False
S2_wet_CVI,Sentinel-2 optical,wet,spectral_index,3000,0,0.0,0,3,0.1,3000,2.82972144679,1.0224280731585347,0.0,0.2181254558,2.34418535,2.99555735,3.539290025,4.6756290899999975,5.5568542,False,False
S2_wet_GNDVI,Sentinel-2 optical,wet,spectral_index,3000,0,0.0,0,1,0.03333333333333333,3000,0.4630923898539333,0.2934761234943974,-1.0,-0.5900182085,0.3591365175,0.5524998649999999,0.675260415,0.7672031836,0.80566496,False,False
S2_wet_MNDWI,Sentinel-2 optical,wet,spectral_index,3000,0,0.0,0,1,0.03333333333333333,3000,-0.39122799680296666,0.2644146166462629,-0.66768163,-0.6075776970000001,-0.5331950375,-0.470033975,-0.377824025,0.7058319669999996,0.8542803,False,False
S2_wet_MSR,Sentinel-2 optical,wet,spectral_index,3000,0,0.0,0,2,0.06666666666666667,3000,1.3729424298068333,1.0903189607756392,-1.0,-0.6049467136,0.480508525,1.2229411,2.158280225,3.673275755999997,4.4821515,False,False
S2_wet_MTCI,Sentinel-2 optical,wet,spectral_index,3000,0,0.0,0,2,0.06666666666666667,3000,-1139.9253210083616,8157.820388817437,-83750.0,-54500.0,1.4421844750000001,2.4670177,3.089178,4.896640342999937,43100.0,False,False
S2_wet_NBR,Sentinel-2 optical,wet,spectral_index,3000,0,0.0,0,3,0.1,3000,0.33524484338302335,0.2419632031825606,-1.0,-0.2927141276,0.18479401499999998,0.37264645,0.52100979,0.6982184805,0.7320345,False,False
S2_wet_NBR2,Sentinel-2 optical,wet,spectral_index,3000,0,0.0,0,1,0.03333333333333333,3000,0.2348275548077567,0.10832344406647756,-0.08461173,-0.011909745,0.162543955,0.237234635,0.3119223375,0.41976663869999997,0.43649358,False,False
S2_wet_NDI,Sentinel-2 optical,wet,spectral_index,3000,0,0.0,0,4,0.13333333333333333,3000,0.08894598563872334,0.13919226664785947,-0.27948987,-0.1808056019,-0.019485276000000003,0.07426109,0.18311191500000001,0.374751216,0.44118288,False,False
S2_wet_NDMI,Sentinel-2 optical,wet,spectral_index,3000,0,0.0,0,1,0.03333333333333333,3000,0.12843126129935334,0.17161734447676966,-1.0,-0.314383419,0.015672936,0.14956341,0.25864210750000005,0.4279836275999998,0.6324864,False,False
S2_wet_NDVI,Sentinel-2 optical,wet,spectral_index,3000,0,0.0,0,2,0.06666666666666667,3000,0.4893224231673666,0.32691506919283825,-1.0,-0.5391967615,0.28467155,0.562796635,0.7530492125,0.8841333018999998,0.91637695,False,False
S2_wet_NDVI_RE,Sentinel-2 optical,wet,spectral_index,3000,0,0.0,0,1,0.03333333333333333,3000,0.3188822481884333,0.2584121952227412,-1.0,-0.5067461635999999,0.168165085,0.37174801,0.524421705,0.6521744725999999,0.69102067,False,False
S2_wet_NDWI,Sentinel-2 optical,wet,spectral_index,3000,0,0.0,0,1,0.03333333333333333,3000,-0.4630923898539333,0.2934761234943974,-0.80566496,-0.7672031836000001,-0.675260415,-0.5524998649999999,-0.3591365175,0.5900182084999991,1.0,False,False
S2_wet_NLI,Sentinel-2 optical,wet,spectral_index,3000,0,0.0,0,1,0.03333333333333333,3000,-0.0012792020418300088,0.4956020609868271,-1.0,-0.9790031655,-0.41928362999999996,0.048019192,0.430282875,0.7638383853999999,0.83236593,False,False
S2_wet_PSRI,Sentinel-2 optical,wet,spectral_index,3000,0,0.0,0,4,0.13333333333333333,3000,-3.9673942469028796,170.83653397663056,-6600.3076,-0.26915780379999993,-0.007377110524999999,0.0349104735,0.114951395,0.580649129999998,1050.0857,False,False
S2_wet_RDVI,Sentinel-2 optical,wet,spectral_index,3000,0,0.0,0,2,0.06666666666666667,3000,0.3137000881541,0.19932630924638473,-0.25448582,-0.1829434077,0.167522905,0.34868,0.4743126875,0.62561197,0.715563,False,False
S2_wet_SR,Sentinel-2 optical,wet,spectral_index,3000,0,0.0,0,3,0.1,3000,5.084444088953333,4.145163074651741,0.0,0.3041480334,1.821315975,3.67993975,7.226883,16.26122289999998,22.924751,False,False
