block_size_km,fold,feature,final_rf_importance,source_group,season_or_orbit,feature_family
15,4,L89_wet_SWIR2,0.024262269392816293,Landsat 8/9 optical,wet,spectral_band_or_percentile
15,4,S2_dry_NDMI,0.02394942674267816,Sentinel-2 optical,dry,spectral_index
15,4,L89_wet_NBR,0.023204443336719432,Landsat 8/9 optical,wet,spectral_index
15,5,S2_dry_CVI,0.06827819356255987,Sentinel-2 optical,dry,spectral_index
15,5,S2_dry_MNDWI,0.0629306087455654,Sentinel-2 optical,dry,spectral_index
15,5,DEM_elevation,0.06159027341184262,DEM/topography,static_or_annual,topographic
15,5,S2_wet_NBR2,0.052441985636493826,Sentinel-2 optical,wet,spectral_index
15,5,S2_dry_B11,0.050849786992167766,Sentinel-2 optical,dry,spectral_band_or_percentile
15,5,S1_VHasc_p50,0.046779256429682524,Sentinel-1 SAR,ascending,sar_backscatter_metric
15,5,S2_dry_B2,0.04614470266364917,Sentinel-2 optical,dry,spectral_band_or_percentile
15,5,S2_dry_NBR2,0.04447592318820437,Sentinel-2 optical,dry,spectral_index
15,5,L89_dry_SWIR2,0.038934125321117584,Landsat 8/9 optical,dry,spectral_band_or_percentile
15,5,S2_dry_B6,0.038484195834831016,Sentinel-2 optical,dry,spectral_band_or_percentile
15,5,L89_wet_NBR2,0.037537134305968674,Landsat 8/9 optical,wet,spectral_index
15,5,L89_dry_Blue,0.03687364993531734,Landsat 8/9 optical,dry,spectral_band_or_percentile
15,5,S2_dry_SR,0.035922579314019334,Sentinel-2 optical,dry,spectral_index
15,5,S2_wet_CVI,0.03591189273859749,Sentinel-2 optical,wet,spectral_index
15,5,L89_dry_NDVI,0.03577780454305552,Landsat 8/9 optical,dry,spectral_index
15,5,S2_dry_NDI,0.03551668902354614,Sentinel-2 optical,dry,spectral_index
15,5,S2_dry_NDWI,0.03496078922002397,Sentinel-2 optical,dry,spectral_index
15,5,L89_dry_NDMI,0.032597590838095714,Landsat 8/9 optical,dry,spectral_index
15,5,L89_dry_MSI,0.03209704875613736,Landsat 8/9 optical,dry,spectral_index
15,5,S2_wet_B12,0.0313092704553875,Sentinel-2 optical,wet,spectral_band_or_percentile
15,5,S2_wet_SR,0.029075986823060427,Sentinel-2 optical,wet,spectral_index
15,5,S2_wet_NDVI_RE,0.0290102546855126,Sentinel-2 optical,wet,spectral_index
